Title,Release Date,Anime Type,Episode Count,Genres,Summary
"""0""","23.10.2013
				","('Music Video',)",1 ep,[],No summary available.
"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu","21.03.1970
				","('Movie',)",1 ep,['fantasy'],"* Based on Aesop's Fables.
				"
"""Anata o Hitokoto de Arawashite Kudasai"" no Shitsumon ga Nigate da.","12.01.2022
				","('Web',)",1 ep,[],"20xx, a little future story. In contrast to Yuki, who is struggling with job hunting because he doesn't know what he wants to do or what he wants to be, Michiru, who aims to become a journalist, has been steadily selected. The final task is coverage on a local island. Yuki refuses Michiru's request and decides to help with the task. Touching people working on an island (smart city) where calm nature and technology coexist, and a word from Michiru will change Yuuki's feelings.
				"
"""Eiji""","25.08.1990
				","('Movie',)",1 ep,"['boxing', 'comedy', 'manga', 'shounen']","* Based on a shounen manga in Jump.Eiji is the son of Japan's greatest boxer, but unfortunately, he happens to be a total high school loser. However, an old man is determined to make Eiji into a great boxer.
				"
"""Eikou Naki Tensai-tachi"" kara no Monogatari","25.03.2017 - 28.05.2017
				","('TV Special',)",2 eps,"['manga', 'seinen']","An anime/documentary series about athletes presented by NHK.The first episode adapts material from Itou Tomoyoshi and Morita Shingo's Weekly Young Jump biographical manga Eikou Naki Tensai-tachi (Geniuses Without Glory) — specifically the story about Furuhashi Hironoshin, the swimmer also known as ""the flying fish of Fujiyama."" The episode also includes interviews with Olympic swimmer Kitajima Kousuke and other Japanese swimmers about the how Furuhashi changed the Japanese competitive swimming world, as well as what sort of training is required to be an Olympic swimmer.Source: ANN
"
"""Eiyuu"" Kaitai","23.11.2016
				","('OVA',)",1 ep,"['isekai', 'novel', 'seinen']","The story centers on a boy named Yamada Uro, and a 17-year old girl named Karon. Both work as part of the ""Hero Retirement and Return to Everyday Life Assistance Agency,"" which takes heroes from another world back to Earth and helps them reintegrate into everyday life. Karon, a former hero herself, works under Uro as they tackle cases, and also lives with him, with Uro constantly failing to rein in Karon's hero-like behavior even as he tries to ingrain the behavior of common people into her.Source: ANN
"
"""Fate/Grand Order"" Memorial Movie 2023","30.07.2023
				","('Music Video',)",1 ep,[],"""To explore beyond the tale"" ""Myth and legend merge into a tale of your own.""
				"
"""Hataraku Saibou!!"" Saikyou no Teki, Futatabi. Karada no Naka wa ""Chou"" Oosawagi!","05.09.2020
				","('Movie',)",1 ep,['manga'],"Ippan Saibou is envious of the public praise immune system cells like white blood cells receive for protecting the human body from deadly pathogens. Instead of watching safely from his home, he also wants to be useful and get recognized for his efforts. He soon comes across a group of infantile-looking bacteria getting washed away by a river current. Despite knowing the potential dangers that they hold, he rescues the bacteria and brings them to safety. However, Hakkekkyuu U-1146 picks up the presence of these bacteria and is on the hunt for them.Meanwhile, somewhere else in the human body is NK Saibou, who is on the lookout for someone. Based on her intel, he is an antigen that the immune system cells have previously encountered, and he may have returned for revenge.Source: MALNote: An episode based on a story from volume 5 of the manga received a special screening ahead of the second season.
"
"""Oshi no Ko""","17.03.2023 - 28.06.2023
				","('TV Series',)",11 eps,"['daily life', 'idol', 'manga', 'performance', 'seinen', 'the arts', 'tragedy']","* Based on a seinen manga written by Akasaka Aka and drawn by Yokoyari Mengo.""In the world of showbiz, lies are weapons."" Amemiya Gorou works as an OB-GYN in the countryside, a life far removed from the entertainment industry. Meanwhile, his favorite idol, Hoshino Ai, has begun her climb to stardom. The two meet in the worst possible way, setting the gears of fate in motion!Source: Manga PlusNote: The first episode received a theatre release on March 17, 2023. The regular TV broadcast started on April 12, 2023.
"
"""Oshi no Ko"" (2024)","03.07.2024 - 06.10.2024
				","('TV Series',)",13 eps,"['manga', 'seinen']","* Based on a seinen manga written by Akasaka Aka and drawn by Yokoyari Mengo.Aqua's desire for revenge takes center stage as he navigates the dark underbelly of the entertainment world alongside his twin sister, Ruby. While Ruby follows in their slain mother's footsteps to become an idol, Aqua joins a famous theater troupe in hopes of uncovering clues to the identity of his father — the man who arranged their mother’s untimely death, and the man who once starred in the same troupe Aqua hopes to infiltrate.Source: HIDIVENote: The first episode was screened theatrically on June 30, 2024 in Japan and Germany. Further, the second episode premiered on July 6, 2024 at Anime Expo in Los Angeles. The regular TV broadcast started on July 3, 2024.
"
